Hiber-loss	LSTM-Loss	
 2.4469e+00	 6.9988e-01	
 2.4451e+00	 6.9967e-01	
 2.4450e+00	 6.9956e-01	
 2.4452e+00	 6.9941e-01	
 2.4463e+00	 6.9923e-01	
 2.4450e+00	 6.9904e-01	
 2.4459e+00	 6.9845e-01	
 2.4464e+00	 6.9862e-01	
 2.4464e+00	 6.9922e-01	
 2.4435e+00	 6.9892e-01	
 2.4420e+00	 6.9836e-01	
 2.4425e+00	 6.9804e-01	
 2.4434e+00	 6.9788e-01	
 2.4429e+00	 6.9759e-01	
 2.4418e+00	 6.9744e-01	
 2.4426e+00	 6.9742e-01	
 2.4427e+00	 6.9730e-01	
 2.4412e+00	 6.9715e-01	
 2.4384e+00	 6.9660e-01	
 2.4375e+00	 6.9626e-01	
 2.4385e+00	 6.9597e-01	
 2.4378e+00	 6.9578e-01	
 2.4388e+00	 6.9564e-01	
 2.4382e+00	 6.9546e-01	
 2.4375e+00	 6.9517e-01	
 2.4365e+00	 6.9491e-01	
 2.4361e+00	 6.9472e-01	
 2.4366e+00	 6.9431e-01	
 2.4358e+00	 6.9407e-01	
 2.4365e+00	 6.9399e-01	
 2.4361e+00	 6.9362e-01	
 2.4355e+00	 6.9347e-01	
 2.4369e+00	 6.9341e-01	
 2.4355e+00	 6.9311e-01	
 2.4352e+00	 6.9285e-01	
 2.4338e+00	 6.9263e-01	
 2.4331e+00	 6.9231e-01	
 2.4314e+00	 6.9203e-01	
 2.4320e+00	 6.9191e-01	
 2.4303e+00	 6.9153e-01	
 2.4309e+00	 6.9144e-01	
 2.4297e+00	 6.9109e-01	
 2.4290e+00	 6.9066e-01	
 2.4286e+00	 6.9009e-01	
 2.4272e+00	 6.8985e-01	
 2.4271e+00	 6.8951e-01	
 2.4267e+00	 6.8898e-01	
 2.4278e+00	 6.8856e-01	
 2.4261e+00	 6.8810e-01	
 2.4260e+00	 6.8773e-01	
 2.4247e+00	 6.8745e-01	
 2.4261e+00	 6.8715e-01	
 2.4245e+00	 6.8679e-01	
 2.4243e+00	 6.8634e-01	
 2.4241e+00	 6.8612e-01	
 2.4247e+00	 6.8607e-01	
 2.4241e+00	 6.8589e-01	
 2.4231e+00	 6.8562e-01	
 2.4225e+00	 6.8553e-01	
 2.4216e+00	 6.8501e-01	
 2.4203e+00	 6.8446e-01	
 2.4197e+00	 6.8398e-01	
 2.4195e+00	 6.8354e-01	
 2.4185e+00	 6.8315e-01	
 2.4186e+00	 6.8275e-01	
 2.4189e+00	 6.8229e-01	
 2.4175e+00	 6.8189e-01	
 2.4161e+00	 6.8132e-01	
 2.4165e+00	 6.8120e-01	
 2.4144e+00	 6.8078e-01	
 2.4134e+00	 6.8042e-01	
 2.4125e+00	 6.8006e-01	
 2.4115e+00	 6.7968e-01	
 2.4106e+00	 6.7939e-01	
 2.4093e+00	 6.7901e-01	
 2.4088e+00	 6.7885e-01	
 2.4090e+00	 6.7838e-01	
 2.4090e+00	 6.7797e-01	
 2.4089e+00	 6.7769e-01	
 2.4073e+00	 6.7707e-01	
 2.4074e+00	 6.7671e-01	
 2.4074e+00	 6.7650e-01	
 2.4063e+00	 6.7588e-01	
 2.4056e+00	 6.7543e-01	
 2.4051e+00	 6.7515e-01	
 2.4042e+00	 6.7456e-01	
 2.4034e+00	 6.7407e-01	
