Hiber-loss	LSTM-Loss	
 2.4103e+00	 3.0983e-01	
 2.3850e+00	 3.1703e-01	
 2.3890e+00	 3.1324e-01	
 2.4109e+00	 3.1571e-01	
 2.3959e+00	 3.0602e-01	
 2.4107e+00	 3.0724e-01	
 2.4175e+00	 3.0578e-01	
 2.4048e+00	 3.1081e-01	
 2.3998e+00	 3.1003e-01	
 2.3986e+00	 3.1325e-01	
 2.3984e+00	 3.2150e-01	
 2.4002e+00	 3.1872e-01	
 2.4049e+00	 3.0764e-01	
 2.4068e+00	 3.1395e-01	
 2.4076e+00	 3.1330e-01	
 2.4021e+00	 3.0964e-01	
 2.3997e+00	 3.0731e-01	
 2.3986e+00	 3.1012e-01	
 2.3989e+00	 3.1243e-01	
 2.4027e+00	 3.2143e-01	
 2.4034e+00	 3.1378e-01	
 2.4054e+00	 3.1316e-01	
 2.4063e+00	 3.1827e-01	
 2.4032e+00	 3.1435e-01	
 2.4034e+00	 3.0878e-01	
 2.4006e+00	 3.1570e-01	
 2.4014e+00	 3.1447e-01	
 2.4007e+00	 3.1658e-01	
 2.4054e+00	 3.1649e-01	
 2.4050e+00	 3.1186e-01	
 2.4067e+00	 3.0925e-01	
 2.4045e+00	 3.1791e-01	
 2.4009e+00	 3.0788e-01	
 2.3998e+00	 3.0376e-01	
 2.4013e+00	 3.1602e-01	
 2.4008e+00	 3.1545e-01	
 2.4027e+00	 3.1280e-01	
 2.4048e+00	 3.2112e-01	
 2.4048e+00	 3.0506e-01	
 2.4033e+00	 3.1786e-01	
 2.4014e+00	 3.1319e-01	
 2.3999e+00	 3.1322e-01	
 2.4022e+00	 3.1296e-01	
 2.4001e+00	 3.1581e-01	
 2.4002e+00	 3.1319e-01	
 2.4034e+00	 3.1425e-01	
 2.4011e+00	 3.1300e-01	
 2.4027e+00	 3.0665e-01	
 2.4023e+00	 3.1489e-01	
 2.4016e+00	 3.1392e-01	
 2.4022e+00	 3.1428e-01	
 2.4019e+00	 3.0589e-01	
 2.4023e+00	 3.1728e-01	
 2.4024e+00	 3.1601e-01	
 2.4046e+00	 3.1000e-01	
 2.4032e+00	 3.0853e-01	
 2.4035e+00	 3.1184e-01	
 2.4054e+00	 3.1915e-01	
 2.4042e+00	 3.0875e-01	
 2.4026e+00	 3.0926e-01	
 2.4011e+00	 3.2118e-01	
 2.3989e+00	 3.1317e-01	
 2.4026e+00	 3.1065e-01	
 2.4017e+00	 3.1803e-01	
 2.4020e+00	 3.1545e-01	
 2.4041e+00	 3.1690e-01	
 2.4045e+00	 3.1362e-01	
 2.4043e+00	 3.1639e-01	
 2.4037e+00	 3.1159e-01	
 2.4011e+00	 3.1081e-01	
 2.4031e+00	 3.0825e-01	
 2.3973e+00	 3.1566e-01	
 2.4013e+00	 3.0970e-01	
 2.4007e+00	 3.1203e-01	
 2.4033e+00	 3.1259e-01	
