Hiber-loss	LSTM-Loss	
 2.3974e+00	 3.5340e-01	
 2.3973e+00	 3.6053e-01	
 2.3973e+00	 3.6032e-01	
 2.3972e+00	 3.6219e-01	
 2.3972e+00	 3.6164e-01	
 2.3971e+00	 3.6135e-01	
 2.3970e+00	 3.6634e-01	
 2.3971e+00	 3.6400e-01	
 2.3970e+00	 3.6761e-01	
 2.3969e+00	 3.6950e-01	
 2.3968e+00	 3.7512e-01	
 2.3968e+00	 3.7660e-01	
 2.3968e+00	 3.7272e-01	
 2.3967e+00	 3.7744e-01	
 2.3968e+00	 3.6912e-01	
 2.3969e+00	 3.6761e-01	
 2.3967e+00	 3.7464e-01	
 2.3966e+00	 3.7957e-01	
 2.3966e+00	 3.7875e-01	
 2.3966e+00	 3.7931e-01	
 2.3963e+00	 3.8580e-01	
 2.3962e+00	 3.8836e-01	
 2.3965e+00	 3.8184e-01	
 2.3968e+00	 3.7604e-01	
 2.3962e+00	 3.9272e-01	
 2.3962e+00	 3.9238e-01	
 2.3962e+00	 3.9206e-01	
 2.3959e+00	 3.9924e-01	
 2.3959e+00	 3.9899e-01	
 2.3958e+00	 4.0161e-01	
 2.3959e+00	 3.9974e-01	
 2.3957e+00	 4.0576e-01	
 2.3960e+00	 4.0070e-01	
 2.3960e+00	 4.0346e-01	
 2.3959e+00	 4.0776e-01	
 2.3957e+00	 4.1106e-01	
 2.3960e+00	 4.0634e-01	
 2.3958e+00	 4.1232e-01	
 2.3961e+00	 4.0692e-01	
 2.3961e+00	 4.0869e-01	
 2.3958e+00	 4.1530e-01	
 2.3955e+00	 4.2221e-01	
 2.3960e+00	 4.1478e-01	
 2.3961e+00	 4.1382e-01	
 2.3954e+00	 4.3087e-01	
 2.3964e+00	 4.0772e-01	
 2.3953e+00	 4.2908e-01	
 2.3959e+00	 4.1753e-01	
 2.3957e+00	 4.2142e-01	
 2.3950e+00	 4.3277e-01	
 2.3955e+00	 4.2548e-01	
 2.3957e+00	 4.2145e-01	
 2.3959e+00	 4.1734e-01	
 2.3957e+00	 4.1911e-01	
 2.3952e+00	 4.2691e-01	
 2.3945e+00	 4.3699e-01	
 2.3950e+00	 4.2780e-01	
 2.3950e+00	 4.2797e-01	
 2.3951e+00	 4.2469e-01	
 2.3956e+00	 4.1751e-01	
 2.3952e+00	 4.2253e-01	
 2.3952e+00	 4.2295e-01	
 2.3954e+00	 4.1810e-01	
 2.3954e+00	 4.1689e-01	
 2.3952e+00	 4.1821e-01	
 2.3955e+00	 4.1064e-01	
 2.3953e+00	 4.1358e-01	
 2.3948e+00	 4.1871e-01	
 2.3947e+00	 4.1769e-01	
 2.3954e+00	 4.0604e-01	
 2.3945e+00	 4.1737e-01	
 2.3944e+00	 4.1612e-01	
 2.3945e+00	 4.0923e-01	
 2.3945e+00	 4.0462e-01	
 2.3940e+00	 4.0831e-01	
 2.3944e+00	 4.0084e-01	
 2.3946e+00	 3.9882e-01	
 2.3934e+00	 4.0713e-01	
 2.3942e+00	 3.9326e-01	
 2.3937e+00	 3.9475e-01	
 2.3934e+00	 3.9488e-01	
 2.3936e+00	 3.8793e-01	
 2.3931e+00	 3.8872e-01	
 2.3929e+00	 3.8940e-01	
 2.3942e+00	 3.7348e-01	
 2.3927e+00	 3.8383e-01	
 2.3935e+00	 3.7020e-01	
 2.3931e+00	 3.7105e-01	
 2.3933e+00	 3.6413e-01	
 2.3931e+00	 3.6072e-01	
 2.3930e+00	 3.5966e-01	
 2.3922e+00	 3.6321e-01	
 2.3924e+00	 3.5621e-01	
 2.3915e+00	 3.5874e-01	
 2.3920e+00	 3.5264e-01	
 2.3909e+00	 3.5587e-01	
 2.3932e+00	 3.3539e-01	
 2.3914e+00	 3.4313e-01	
 2.3915e+00	 3.3896e-01	
 2.3924e+00	 3.3103e-01	
 2.3897e+00	 3.4765e-01	
 2.3915e+00	 3.3151e-01	
 2.3906e+00	 3.3316e-01	
 2.3911e+00	 3.2722e-01	
 2.3887e+00	 3.3655e-01	
 2.3909e+00	 3.1739e-01	
 2.3899e+00	 3.1888e-01	
 2.3882e+00	 3.2854e-01	
 2.3892e+00	 3.1148e-01	
 2.3878e+00	 3.1939e-01	
 2.3893e+00	 3.1121e-01	
 2.3880e+00	 3.0780e-01	
 2.3872e+00	 3.0773e-01	
 2.3866e+00	 3.0529e-01	
 2.3881e+00	 2.9851e-01	
 2.3877e+00	 3.0035e-01	
 2.3853e+00	 3.0010e-01	
 2.3863e+00	 3.0512e-01	
 2.3857e+00	 2.9808e-01	
 2.3865e+00	 2.9553e-01	
 2.3846e+00	 2.9305e-01	
 2.3859e+00	 2.9089e-01	
 2.3855e+00	 2.8993e-01	
 2.3823e+00	 2.9673e-01	
 2.3844e+00	 2.8492e-01	
 2.3838e+00	 2.9095e-01	
 2.3830e+00	 2.8481e-01	
 2.3842e+00	 2.8332e-01	
 2.3874e+00	 2.7540e-01	
 2.3825e+00	 2.8733e-01	
 2.3829e+00	 2.8770e-01	
 2.3807e+00	 2.8219e-01	
 2.3804e+00	 2.8590e-01	
 2.3833e+00	 2.7869e-01	
 2.3792e+00	 2.8405e-01	
 2.3833e+00	 2.7125e-01	
 2.3795e+00	 2.7781e-01	
 2.3797e+00	 2.7358e-01	
 2.3800e+00	 2.7606e-01	
 2.3802e+00	 2.7673e-01	
 2.3793e+00	 2.7514e-01	
 2.3797e+00	 2.6880e-01	
 2.3777e+00	 2.7638e-01	
 2.3798e+00	 2.7420e-01	
 2.3790e+00	 2.7228e-01	
 2.3813e+00	 2.7249e-01	
 2.3800e+00	 2.7094e-01	
 2.3762e+00	 2.6770e-01	
 2.3804e+00	 2.7588e-01	
 2.3747e+00	 2.6965e-01	
 2.3755e+00	 2.7095e-01	
 2.3769e+00	 2.7472e-01	
 2.3738e+00	 2.6702e-01	
 2.3722e+00	 2.7223e-01	
 2.3739e+00	 2.7198e-01	
 2.3745e+00	 2.7212e-01	
 2.3713e+00	 2.7324e-01	
 2.3711e+00	 2.6579e-01	
 2.3693e+00	 2.7824e-01	
 2.3662e+00	 2.7299e-01	
 2.3689e+00	 2.7140e-01	
 2.3749e+00	 2.6911e-01	
 2.3657e+00	 2.7293e-01	
 2.3648e+00	 2.7193e-01	
 2.3644e+00	 2.7590e-01	
 2.3619e+00	 2.7282e-01	
 2.3602e+00	 2.7134e-01	
 2.3671e+00	 2.6967e-01	
 2.3623e+00	 2.6834e-01	
 2.3602e+00	 2.6997e-01	
 2.3597e+00	 2.7254e-01	
 2.3597e+00	 2.6453e-01	
