Hiber-loss	LSTM-Loss	
 5.7784e+00	 3.2044e-01	
 5.7766e+00	 3.2631e-01	
 5.7708e+00	 3.1762e-01	
 5.7706e+00	 3.1880e-01	
 5.7662e+00	 3.2611e-01	
 5.7640e+00	 3.2791e-01	
 5.7630e+00	 3.1444e-01	
 5.7611e+00	 3.0888e-01	
 5.7599e+00	 3.2227e-01	
 5.7574e+00	 3.2354e-01	
 5.7543e+00	 3.2423e-01	
 5.7518e+00	 3.2244e-01	
 5.7494e+00	 3.2160e-01	
 5.7471e+00	 3.1462e-01	
 5.7455e+00	 3.1418e-01	
 5.7438e+00	 3.1716e-01	
 5.7420e+00	 3.2273e-01	
 5.7395e+00	 3.2281e-01	
 5.7367e+00	 3.2451e-01	
 5.7336e+00	 3.1445e-01	
 5.7321e+00	 3.1651e-01	
 5.7302e+00	 3.1693e-01	
 5.7287e+00	 3.1722e-01	
 5.7268e+00	 3.1761e-01	
 5.7256e+00	 3.2409e-01	
 5.7226e+00	 3.2031e-01	
 5.7190e+00	 3.1232e-01	
 5.7179e+00	 3.1877e-01	
 5.7161e+00	 3.1738e-01	
 5.7151e+00	 3.2256e-01	
 5.7121e+00	 3.1813e-01	
 5.7093e+00	 3.1403e-01	
 5.7084e+00	 3.2369e-01	
 5.7059e+00	 3.1975e-01	
 5.7041e+00	 3.2084e-01	
 5.7008e+00	 3.1658e-01	
 5.6992e+00	 3.1547e-01	
 5.6970e+00	 3.1727e-01	
 5.6961e+00	 3.2241e-01	
 5.6912e+00	 3.0956e-01	
 5.6909e+00	 3.1906e-01	
 5.6888e+00	 3.1782e-01	
 5.6869e+00	 3.1962e-01	
 5.6855e+00	 3.1959e-01	
 5.6838e+00	 3.2377e-01	
 5.6819e+00	 3.2147e-01	
 5.6772e+00	 3.1325e-01	
 5.6764e+00	 3.1892e-01	
 5.6739e+00	 3.1678e-01	
 5.6717e+00	 3.1530e-01	
 5.6680e+00	 3.1048e-01	
 5.6695e+00	 3.2202e-01	
 5.6673e+00	 3.2065e-01	
 5.6649e+00	 3.2090e-01	
 5.6645e+00	 3.2496e-01	
 5.6591e+00	 3.1342e-01	
 5.6600e+00	 3.2381e-01	
 5.6562e+00	 3.1798e-01	
 5.6530e+00	 3.1433e-01	
 5.6535e+00	 3.2104e-01	
 5.6502e+00	 3.1818e-01	
 5.6478e+00	 3.1750e-01	
 5.6453e+00	 3.1534e-01	
 5.6462e+00	 3.2284e-01	
 5.6431e+00	 3.2043e-01	
 5.6410e+00	 3.2026e-01	
 5.6377e+00	 3.1692e-01	
 5.6349e+00	 3.1530e-01	
 5.6332e+00	 3.1652e-01	
 5.6318e+00	 3.1761e-01	
 5.6288e+00	 3.1459e-01	
 5.6288e+00	 3.2000e-01	
 5.6254e+00	 3.1695e-01	
 5.6262e+00	 3.2265e-01	
 5.6232e+00	 3.1963e-01	
 5.6166e+00	 3.1030e-01	
 5.6185e+00	 3.1851e-01	
 5.6160e+00	 3.1756e-01	
 5.6128e+00	 3.1485e-01	
 5.6134e+00	 3.2103e-01	
 5.6066e+00	 3.0939e-01	
 5.6100e+00	 3.2114e-01	
 5.6068e+00	 3.1855e-01	
 5.6029e+00	 3.1453e-01	
 5.5985e+00	 3.0916e-01	
 5.6004e+00	 3.1703e-01	
 5.5997e+00	 3.1942e-01	
 5.5950e+00	 3.1426e-01	
 5.5955e+00	 3.1908e-01	
 5.5957e+00	 3.2248e-01	
 5.5897e+00	 3.1511e-01	
 5.5920e+00	 3.2246e-01	
 5.5851e+00	 3.1390e-01	
 5.5871e+00	 3.1996e-01	
 5.5795e+00	 3.1026e-01	
 5.5818e+00	 3.1709e-01	
 5.5804e+00	 3.1811e-01	
 5.5772e+00	 3.1620e-01	
 5.5733e+00	 3.1281e-01	
 5.5731e+00	 3.1535e-01	
 5.5702e+00	 3.1354e-01	
 5.5683e+00	 3.1333e-01	
 5.5670e+00	 3.1412e-01	
 5.5644e+00	 3.1375e-01	
 5.5632e+00	 3.1455e-01	
 5.5592e+00	 3.1080e-01	
 5.5548e+00	 3.0681e-01	
 5.5557e+00	 3.1146e-01	
 5.5565e+00	 3.1509e-01	
 5.5530e+00	 3.1225e-01	
 5.5532e+00	 3.1572e-01	
 5.5546e+00	 3.2035e-01	
 5.5452e+00	 3.0937e-01	
 5.5433e+00	 3.0914e-01	
 5.5443e+00	 3.1374e-01	
 5.5387e+00	 3.0774e-01	
 5.5407e+00	 3.1308e-01	
 5.5398e+00	 3.1425e-01	
 5.5334e+00	 3.0745e-01	
 5.5370e+00	 3.1469e-01	
 5.5330e+00	 3.1180e-01	
 5.5348e+00	 3.1645e-01	
 5.5251e+00	 3.0603e-01	
 5.5181e+00	 2.9900e-01	
 5.5259e+00	 3.1196e-01	
 5.5233e+00	 3.1043e-01	
 5.5218e+00	 3.1101e-01	
 5.5202e+00	 3.1114e-01	
 5.5180e+00	 3.1034e-01	
 5.5225e+00	 3.1832e-01	
 5.5152e+00	 3.1076e-01	
 5.5096e+00	 3.0603e-01	
 5.5105e+00	 3.0891e-01	
 5.5097e+00	 3.0957e-01	
 5.5035e+00	 3.0467e-01	
 5.5051e+00	 3.0793e-01	
 5.5007e+00	 3.0457e-01	
 5.5010e+00	 3.0701e-01	
 5.4981e+00	 3.0584e-01	
 5.4925e+00	 3.0083e-01	
 5.4956e+00	 3.0625e-01	
 5.4950e+00	 3.0786e-01	
 5.4949e+00	 3.0889e-01	
 5.4841e+00	 2.9923e-01	
 5.4843e+00	 3.0078e-01	
 5.4843e+00	 3.0256e-01	
 5.4791e+00	 2.9924e-01	
 5.4827e+00	 3.0410e-01	
 5.4771e+00	 3.0090e-01	
 5.4761e+00	 3.0097e-01	
 5.4732e+00	 2.9852e-01	
 5.4733e+00	 3.0052e-01	
 5.4727e+00	 3.0262e-01	
 5.4770e+00	 3.0799e-01	
 5.4596e+00	 2.9127e-01	
 5.4687e+00	 3.0344e-01	
 5.4647e+00	 3.0159e-01	
 5.4613e+00	 2.9752e-01	
 5.4619e+00	 3.0099e-01	
